"period","dataset","column"
"2025-04","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2025-04","measures_monthly","ORG_CODE1"
"2025-04","measures_monthly","ORG_CODE2"
"2025-04","measures_monthly","ORG_NAME1"
"2025-04","measures_monthly","ORG_NAME2"
"2025-04","measures_monthly","REPORTING_PERIOD_END"
"2025-04","measures_monthly","REPORTING_PERIOD_START"
"2025-03","measures_monthly","GROUP_TYPE"
"2025-03","measures_monthly","MEASURE_ID"
"2025-03","measures_monthly","MEASURE_NAME"
"2025-03","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2025-03","measures_monthly","ORG_CODE1"
"2025-03","measures_monthly","ORG_CODE2"
"2025-03","measures_monthly","ORG_NAME1"
"2025-03","measures_monthly","ORG_NAME2"
"2025-03","measures_monthly","REPORTING_PERIOD_END"
"2025-03","measures_monthly","REPORTING_PERIOD_START"
"2025-02","measures_monthly","GROUP_TYPE"
"2025-02","measures_monthly","MEASURE_ID"
"2025-02","measures_monthly","MEASURE_NAME"
"2025-02","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2025-02","measures_monthly","ORG_CODE1"
"2025-02","measures_monthly","ORG_CODE2"
"2025-02","measures_monthly","ORG_NAME1"
"2025-02","measures_monthly","ORG_NAME2"
"2025-02","measures_monthly","REPORTING_PERIOD_END"
"2025-02","measures_monthly","REPORTING_PERIOD_START"
"2025-01","measures_monthly","GROUP_TYPE"
"2025-01","measures_monthly","MEASURE_ID"
"2025-01","measures_monthly","MEASURE_NAME"
"2025-01","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2025-01","measures_monthly","ORG_CODE1"
"2025-01","measures_monthly","ORG_CODE2"
"2025-01","measures_monthly","ORG_NAME1"
"2025-01","measures_monthly","ORG_NAME2"
"2025-01","measures_monthly","REPORTING_PERIOD_END"
"2025-01","measures_monthly","REPORTING_PERIOD_START"
"2024-12","measures_monthly","GROUP_TYPE"
"2024-12","measures_monthly","MEASURE_ID"
"2024-12","measures_monthly","MEASURE_NAME"
"2024-12","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-12","measures_monthly","ORG_CODE1"
"2024-12","measures_monthly","ORG_CODE2"
"2024-12","measures_monthly","ORG_NAME1"
"2024-12","measures_monthly","ORG_NAME2"
"2024-12","measures_monthly","REPORTING_PERIOD_END"
"2024-12","measures_monthly","REPORTING_PERIOD_START"
"2024-11","measures_monthly","GROUP_TYPE"
"2024-11","measures_monthly","MEASURE_ID"
"2024-11","measures_monthly","MEASURE_NAME"
"2024-11","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-11","measures_monthly","ORG_CODE1"
"2024-11","measures_monthly","ORG_CODE2"
"2024-11","measures_monthly","ORG_NAME1"
"2024-11","measures_monthly","ORG_NAME2"
"2024-11","measures_monthly","REPORTING_PERIOD_END"
"2024-11","measures_monthly","REPORTING_PERIOD_START"
"2024-10","measures_monthly","GROUP_TYPE"
"2024-10","measures_monthly","MEASURE_ID"
"2024-10","measures_monthly","MEASURE_NAME"
"2024-10","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-10","measures_monthly","ORG_CODE1"
"2024-10","measures_monthly","ORG_CODE2"
"2024-10","measures_monthly","ORG_NAME1"
"2024-10","measures_monthly","ORG_NAME2"
"2024-10","measures_monthly","REPORTING_PERIOD_END"
"2024-10","measures_monthly","REPORTING_PERIOD_START"
"2024-09","measures_monthly","GROUP_TYPE"
"2024-09","measures_monthly","MEASURE_ID"
"2024-09","measures_monthly","MEASURE_NAME"
"2024-09","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-09","measures_monthly","ORG_CODE1"
"2024-09","measures_monthly","ORG_CODE2"
"2024-09","measures_monthly","ORG_NAME1"
"2024-09","measures_monthly","ORG_NAME2"
"2024-09","measures_monthly","REPORTING_PERIOD_END"
"2024-09","measures_monthly","REPORTING_PERIOD_START"
"2024-08","measures_monthly","GROUP_TYPE"
"2024-08","measures_monthly","MEASURE_ID"
"2024-08","measures_monthly","MEASURE_NAME"
"2024-08","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-08","measures_monthly","ORG_CODE1"
"2024-08","measures_monthly","ORG_CODE2"
"2024-08","measures_monthly","ORG_NAME1"
"2024-08","measures_monthly","ORG_NAME2"
"2024-08","measures_monthly","REPORTING_PERIOD_END"
"2024-08","measures_monthly","REPORTING_PERIOD_START"
"2024-07","measures_monthly","GROUP_TYPE"
"2024-07","measures_monthly","MEASURE_ID"
"2024-07","measures_monthly","MEASURE_NAME"
"2024-07","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-07","measures_monthly","ORG_CODE1"
"2024-07","measures_monthly","ORG_CODE2"
"2024-07","measures_monthly","ORG_NAME1"
"2024-07","measures_monthly","ORG_NAME2"
"2024-07","measures_monthly","REPORTING_PERIOD_END"
"2024-07","measures_monthly","REPORTING_PERIOD_START"
"2024-06","measures_monthly","GROUP_TYPE"
"2024-06","measures_monthly","MEASURE_ID"
"2024-06","measures_monthly","MEASURE_NAME"
"2024-06","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-06","measures_monthly","ORG_CODE1"
"2024-06","measures_monthly","ORG_CODE2"
"2024-06","measures_monthly","ORG_NAME1"
"2024-06","measures_monthly","ORG_NAME2"
"2024-06","measures_monthly","REPORTING_PERIOD_END"
"2024-06","measures_monthly","REPORTING_PERIOD_START"
"2024-05","measures_monthly","GROUP_TYPE"
"2024-05","measures_monthly","MEASURE_ID"
"2024-05","measures_monthly","MEASURE_NAME"
"2024-05","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-05","measures_monthly","ORG_CODE1"
"2024-05","measures_monthly","ORG_CODE2"
"2024-05","measures_monthly","ORG_NAME1"
"2024-05","measures_monthly","ORG_NAME2"
"2024-05","measures_monthly","REPORTING_PERIOD_END"
"2024-05","measures_monthly","REPORTING_PERIOD_START"
"2024-04","measures_monthly","GROUP_TYPE"
"2024-04","measures_monthly","MEASURE_ID"
"2024-04","measures_monthly","MEASURE_NAME"
"2024-04","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-04","measures_monthly","ORG_CODE1"
"2024-04","measures_monthly","ORG_CODE2"
"2024-04","measures_monthly","ORG_NAME1"
"2024-04","measures_monthly","ORG_NAME2"
"2024-04","measures_monthly","REPORTING_PERIOD_END"
"2024-04","measures_monthly","REPORTING_PERIOD_START"
"2024-03","measures_monthly","GROUP_TYPE"
"2024-03","measures_monthly","MEASURE_ID"
"2024-03","measures_monthly","MEASURE_NAME"
"2024-03","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-03","measures_monthly","ORG_CODE1"
"2024-03","measures_monthly","ORG_CODE2"
"2024-03","measures_monthly","ORG_NAME1"
"2024-03","measures_monthly","ORG_NAME2"
"2024-03","measures_monthly","REPORTING_PERIOD_END"
"2024-03","measures_monthly","REPORTING_PERIOD_START"
"2024-02","measures_monthly","GROUP_TYPE"
"2024-02","measures_monthly","MEASURE_ID"
"2024-02","measures_monthly","MEASURE_NAME"
"2024-02","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-02","measures_monthly","ORG_CODE1"
"2024-02","measures_monthly","ORG_CODE2"
"2024-02","measures_monthly","ORG_NAME1"
"2024-02","measures_monthly","ORG_NAME2"
"2024-02","measures_monthly","REPORTING_PERIOD_END"
"2024-02","measures_monthly","REPORTING_PERIOD_START"
"2024-01","measures_monthly","GROUP_TYPE"
"2024-01","measures_monthly","MEASURE_ID"
"2024-01","measures_monthly","MEASURE_NAME"
"2024-01","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-01","measures_monthly","ORG_CODE1"
"2024-01","measures_monthly","ORG_CODE2"
"2024-01","measures_monthly","ORG_NAME1"
"2024-01","measures_monthly","ORG_NAME2"
"2024-01","measures_monthly","REPORTING_PERIOD_END"
"2024-01","measures_monthly","REPORTING_PERIOD_START"
"2023-12","measures_monthly","GROUP_TYPE"
"2023-12","measures_monthly","MEASURE_ID"
"2023-12","measures_monthly","MEASURE_NAME"
"2023-12","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-12","measures_monthly","ORG_CODE1"
"2023-12","measures_monthly","ORG_CODE2"
"2023-12","measures_monthly","ORG_NAME1"
"2023-12","measures_monthly","ORG_NAME2"
"2023-12","measures_monthly","REPORTING_PERIOD_END"
"2023-12","measures_monthly","REPORTING_PERIOD_START"
"2023-11","measures_monthly","GROUP_TYPE"
"2023-11","measures_monthly","MEASURE_ID"
"2023-11","measures_monthly","MEASURE_NAME"
"2023-11","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-11","measures_monthly","ORG_CODE1"
"2023-11","measures_monthly","ORG_CODE2"
"2023-11","measures_monthly","ORG_NAME1"
"2023-11","measures_monthly","ORG_NAME2"
"2023-11","measures_monthly","REPORTING_PERIOD_END"
"2023-11","measures_monthly","REPORTING_PERIOD_START"
"2023-10","measures_monthly","GROUP_TYPE"
"2023-10","measures_monthly","MEASURE_ID"
"2023-10","measures_monthly","MEASURE_NAME"
"2023-10","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-10","measures_monthly","ORG_CODE1"
"2023-10","measures_monthly","ORG_CODE2"
"2023-10","measures_monthly","ORG_NAME1"
"2023-10","measures_monthly","ORG_NAME2"
"2023-10","measures_monthly","REPORTING_PERIOD_END"
"2023-10","measures_monthly","REPORTING_PERIOD_START"
"2023-09","measures_monthly","GROUP_TYPE"
"2023-09","measures_monthly","MEASURE_ID"
"2023-09","measures_monthly","MEASURE_NAME"
"2023-09","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-09","measures_monthly","ORG_CODE1"
"2023-09","measures_monthly","ORG_CODE2"
"2023-09","measures_monthly","ORG_NAME1"
"2023-09","measures_monthly","ORG_NAME2"
"2023-09","measures_monthly","REPORTING_PERIOD_END"
"2023-09","measures_monthly","REPORTING_PERIOD_START"
"2023-08","measures_monthly","GROUP_TYPE"
"2023-08","measures_monthly","MEASURE_ID"
"2023-08","measures_monthly","MEASURE_NAME"
"2023-08","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-08","measures_monthly","ORG_CODE1"
"2023-08","measures_monthly","ORG_CODE2"
"2023-08","measures_monthly","ORG_NAME1"
"2023-08","measures_monthly","ORG_NAME2"
"2023-08","measures_monthly","REPORTING_PERIOD_END"
"2023-08","measures_monthly","REPORTING_PERIOD_START"
"2023-07","measures_monthly","GROUP_TYPE"
"2023-07","measures_monthly","MEASURE_ID"
"2023-07","measures_monthly","MEASURE_NAME"
"2023-07","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-07","measures_monthly","ORG_CODE1"
"2023-07","measures_monthly","ORG_CODE2"
"2023-07","measures_monthly","ORG_NAME1"
"2023-07","measures_monthly","ORG_NAME2"
"2023-07","measures_monthly","REPORTING_PERIOD_END"
"2023-07","measures_monthly","REPORTING_PERIOD_START"
"2023-06","measures_monthly","GROUP_TYPE"
"2023-06","measures_monthly","MEASURE_ID"
"2023-06","measures_monthly","MEASURE_NAME"
"2023-06","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-06","measures_monthly","ORG_CODE1"
"2023-06","measures_monthly","ORG_CODE2"
"2023-06","measures_monthly","ORG_NAME1"
"2023-06","measures_monthly","ORG_NAME2"
"2023-06","measures_monthly","REPORTING_PERIOD_END"
"2023-06","measures_monthly","REPORTING_PERIOD_START"
"2023-05","measures_monthly","GROUP_TYPE"
"2023-05","measures_monthly","MEASURE_ID"
"2023-05","measures_monthly","MEASURE_NAME"
"2023-05","measures_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-05","measures_monthly","ORG_CODE1"
