"period","dataset","column"
"2024-12","activity_performance_monthly","MEASURE_ID"
"2024-12","activity_performance_monthly","MEASURE_NAME"
"2024-12","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-12","activity_performance_monthly","ORG_CODE1"
"2024-12","activity_performance_monthly","ORG_CODE2"
"2024-12","activity_performance_monthly","ORG_NAME1"
"2024-12","activity_performance_monthly","ORG_NAME2"
"2024-12","activity_performance_monthly","REPORTING_PERIOD_END"
"2024-12","activity_performance_monthly","REPORTING_PERIOD_START"
"2024-11","activity_performance_monthly","GROUP_TYPE"
"2024-11","activity_performance_monthly","MEASURE_ID"
"2024-11","activity_performance_monthly","MEASURE_NAME"
"2024-11","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-11","activity_performance_monthly","ORG_CODE1"
"2024-11","activity_performance_monthly","ORG_CODE2"
"2024-11","activity_performance_monthly","ORG_NAME1"
"2024-11","activity_performance_monthly","ORG_NAME2"
"2024-11","activity_performance_monthly","REPORTING_PERIOD_END"
"2024-11","activity_performance_monthly","REPORTING_PERIOD_START"
"2024-10","activity_performance_monthly","GROUP_TYPE"
"2024-10","activity_performance_monthly","MEASURE_ID"
"2024-10","activity_performance_monthly","MEASURE_NAME"
"2024-10","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-10","activity_performance_monthly","ORG_CODE1"
"2024-10","activity_performance_monthly","ORG_CODE2"
"2024-10","activity_performance_monthly","ORG_NAME1"
"2024-10","activity_performance_monthly","ORG_NAME2"
"2024-10","activity_performance_monthly","REPORTING_PERIOD_END"
"2024-10","activity_performance_monthly","REPORTING_PERIOD_START"
"2024-09","activity_performance_monthly","GROUP_TYPE"
"2024-09","activity_performance_monthly","MEASURE_ID"
"2024-09","activity_performance_monthly","MEASURE_NAME"
"2024-09","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-09","activity_performance_monthly","ORG_CODE1"
"2024-09","activity_performance_monthly","ORG_CODE2"
"2024-09","activity_performance_monthly","ORG_NAME1"
"2024-09","activity_performance_monthly","ORG_NAME2"
"2024-09","activity_performance_monthly","REPORTING_PERIOD_END"
"2024-09","activity_performance_monthly","REPORTING_PERIOD_START"
"2024-08","activity_performance_monthly","GROUP_TYPE"
"2024-08","activity_performance_monthly","MEASURE_ID"
"2024-08","activity_performance_monthly","MEASURE_NAME"
"2024-08","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-08","activity_performance_monthly","ORG_CODE1"
"2024-08","activity_performance_monthly","ORG_CODE2"
"2024-08","activity_performance_monthly","ORG_NAME1"
"2024-08","activity_performance_monthly","ORG_NAME2"
"2024-08","activity_performance_monthly","REPORTING_PERIOD_END"
"2024-08","activity_performance_monthly","REPORTING_PERIOD_START"
"2024-07","activity_performance_monthly","GROUP_TYPE"
"2024-07","activity_performance_monthly","MEASURE_ID"
"2024-07","activity_performance_monthly","MEASURE_NAME"
"2024-07","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-07","activity_performance_monthly","ORG_CODE1"
"2024-07","activity_performance_monthly","ORG_CODE2"
"2024-07","activity_performance_monthly","ORG_NAME1"
"2024-07","activity_performance_monthly","ORG_NAME2"
"2024-07","activity_performance_monthly","REPORTING_PERIOD_END"
"2024-07","activity_performance_monthly","REPORTING_PERIOD_START"
"2024-06","activity_performance_monthly","GROUP_TYPE"
"2024-06","activity_performance_monthly","MEASURE_ID"
"2024-06","activity_performance_monthly","MEASURE_NAME"
"2024-06","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-06","activity_performance_monthly","ORG_CODE1"
"2024-06","activity_performance_monthly","ORG_CODE2"
"2024-06","activity_performance_monthly","ORG_NAME1"
"2024-06","activity_performance_monthly","ORG_NAME2"
"2024-06","activity_performance_monthly","REPORTING_PERIOD_END"
"2024-06","activity_performance_monthly","REPORTING_PERIOD_START"
"2024-05","activity_performance_monthly","GROUP_TYPE"
"2024-05","activity_performance_monthly","MEASURE_ID"
"2024-05","activity_performance_monthly","MEASURE_NAME"
"2024-05","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-05","activity_performance_monthly","ORG_CODE1"
"2024-05","activity_performance_monthly","ORG_CODE2"
"2024-05","activity_performance_monthly","ORG_NAME1"
"2024-05","activity_performance_monthly","ORG_NAME2"
"2024-05","activity_performance_monthly","REPORTING_PERIOD_END"
"2024-05","activity_performance_monthly","REPORTING_PERIOD_START"
"2024-04","activity_performance_monthly","GROUP_TYPE"
"2024-04","activity_performance_monthly","MEASURE_ID"
"2024-04","activity_performance_monthly","MEASURE_NAME"
"2024-04","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-04","activity_performance_monthly","ORG_CODE1"
"2024-04","activity_performance_monthly","ORG_CODE2"
"2024-04","activity_performance_monthly","ORG_NAME1"
"2024-04","activity_performance_monthly","ORG_NAME2"
"2024-04","activity_performance_monthly","REPORTING_PERIOD_END"
"2024-04","activity_performance_monthly","REPORTING_PERIOD_START"
"2024-03","activity_performance_monthly","GROUP_TYPE"
"2024-03","activity_performance_monthly","MEASURE_ID"
"2024-03","activity_performance_monthly","MEASURE_NAME"
"2024-03","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-03","activity_performance_monthly","ORG_CODE1"
"2024-03","activity_performance_monthly","ORG_CODE2"
"2024-03","activity_performance_monthly","ORG_NAME1"
"2024-03","activity_performance_monthly","ORG_NAME2"
"2024-03","activity_performance_monthly","REPORTING_PERIOD_END"
"2024-03","activity_performance_monthly","REPORTING_PERIOD_START"
"2024-02","activity_performance_monthly","GROUP_TYPE"
